0:11:52:2:38.91404 | SET ALARM REDUCED MOVEMENT DUE TO HIGH TEMP: 0
0:11:52:2:38.91404 | SET ALARM INTERNAL MOTOR DAMAGED: 0
0:11:52:2:38.89738 | SET ALARM STUCK FUEL BLOCKS: 0
0:11:52:2:38.89738 | SET ALARM RADIATION DUE TO EXPOSED FUEL: 0
0:11:52:2:38.89738 | SET ALARM OPEN HATCHES: 0
0:11:52:2:38.89738 | SET ALARM THERMAL CONTROL DISABLED: 0
0:11:52:2:38.88049 | SET ALARM OPEN HATCH / GATES: 0
0:11:52:2:38.88049 | SET ALARM HIGH STEAM LEVEL: 0
0:11:52:2:38.88049 | SET ALARM STEAM DETECTED: 0
0:11:52:2:38.88049 | SET ALARM LOW COOLANT FLOW: 0
0:11:52:2:38.88049 | SET ALARM FLOODED CORE: 0
0:11:52:2:38.88049 | SET ALARM LOW OUTPUT FLOW: 0
0:11:52:2:38.88049 | SET ALARM LOW INPUT FLOW: 0
0:11:52:2:38.88049 | SET ALARM NO CONTROL RODS: 0
0:11:52:2:38.88049 | SET ALARM LOW INTEGRITY: 0
0:11:52:2:38.88049 | SET ALARM CRITICAL INTEGRITY: 0
0:11:52:2:38.88049 | SET ALARM HIGH PRESSURE: 0
0:11:52:2:38.88049 | SET ALARM NO ELECTRICAL VOLTAGE: 0
0:11:52:2:38.88049 | SET ALARM HIGH TEMP: 0
0:11:52:2:38.88049 | SET ALARM VERY HIGH TEMP: 0
0:11:52:2:38.88049 | SET ALARM CRITICAL TEMP: 0
0:11:52:2:38.88049 | SET ALARM EMERGENCY STOP: 0
0:11:51:4:30.8046 | REQUEST  ENERGY PRE_CONTENEDOR: 0
0:11:51:3:30.08797 | REQUEST  ENERGY PRE_CONTENEDOR: 0.2
0:11:51:2:29.28138 | REQUEST  ENERGY BC_0_CONDENSADOR_CIRCULACION: 0.04
0:11:51:2:29.28138 | REQUEST  ENERGY BC_1_CONDENSADOR_CARGA: 0
0:11:51:2:29.28138 | REQUEST  ENERGY BC_2_NUCLEO_CARGA: 0
0:11:51:2:29.28138 | REQUEST  ENERGY BC_0_REFRIGERANTE_CARGA: 0
0:11:51:2:29.28138 | REQUEST  ENERGY BC_2_REFRIGERANTE_CIRCULACION: 0.08
0:11:51:2:29.28138 | REQUEST  ENERGY PRE_CONTENEDOR: 1
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_DEPOSITO_A_TRANS: 0.03
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_ENTRADAPRINCIPAL: 0.02
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADESUMINISTROS: 0.03
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADETURBINAS_SALIDAENTREPISO: 0.03
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADETURBINAS_ENTRADASUPERIOR: 0.03
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADETURBINAS_ENTRADAENTREPISO: 0.03
0:11:51:2:29.28138 | REQUEST  ENERGY PALANCA: 0.02
0:11:51:2:29.28138 | REQUEST  ENERGY PALANCA: 0.1
0:11:51:2:29.28138 | REQUEST  ENERGY PALANCA: 0
0:11:51:2:29.28138 | REQUEST  ENERGY PALANCA: 0.1
0:11:51:2:29.28138 | REQUEST  ENERGY PALANCA: 0.01
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADECONTROL: 0.01
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADECONTROL: 0.02
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALAEXTERNAGENERADORES: 0.02
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADESERVICIOS_A_GEN: 0.02
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADECONTROL: 0.03
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALADESERVICIOS: 0.02
0:11:51:2:29.28138 | REQUEST  ENERGY COMPUERTA_SALAQUIMICOS: 0.02
