REALCURRENTTIME;CORE_TEMP;CORE_IODINE_CUMULATIVE;CORE_XENON_CUMULATIVE;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
119000;227.8901;2.373762;0;66.274;66.274
120000;229.3107;2.626236;0;66.274;66.274
121000;230.7212;2.626236;0;66.274;66.274
122000;232.1319;2.626236;0;66.274;66.274
123000;233.5324;2.626236;0;66.274;66.274
124000;234.923;2.626236;0;66.274;66.274
125000;236.3035;2.626236;0;66.274;67.0774
126000;237.614;2.626236;0;67.0774;67.0774
127000;238.9245;2.626236;0;67.0774;67.0774
128000;240.2249;2.626236;0;67.0774;67.0774
129001;241.5154;2.626236;0;67.0774;67.0774
130000;242.7959;2.870556;0;67.0774;67.0774
131000;244.0762;2.870556;0;67.0774;67.0774
132000;245.3464;2.870556;0;67.0774;67.0774
133000;246.6067;2.870556;0;67.0774;67.0774
134001;247.8668;2.870556;0;67.0774;67.0774
135000;249.117;2.870556;0;67.63015;67.8144
136000;250.297;2.870556;0;67.63015;67.8144
137000;251.4769;2.870556;0;67.8144;67.8144
138000;252.657;2.870556;0;67.8144;67.8144
139000;253.817;2.870556;0;67.8144;67.8144
140000;254.9769;3.107513;0;67.8144;67.8144
141000;256.1267;3.107513;0;67.8144;67.8144
142000;257.2766;3.107513;0;67.8144;67.8144
143000;258.4162;3.107513;0;67.8144;67.8144
144001;259.5558;3.107513;0;67.8144;67.8144
145000;260.6852;3.107513;0;67.8144;68.4787
146000;261.7547;3.107513;0;68.4787;68.4787
147000;262.8142;3.107513;0;68.4787;68.4787
148000;263.8736;3.107513;0;68.4787;68.4787
149000;264.9229;3.107513;0;68.4787;68.4787
150000;265.9722;3.337767;0;68.4787;68.4787
151001;267.0114;3.337767;0;68.4787;68.4787
152000;268.0504;3.337767;0;68.4787;68.4787
153000;269.0695;3.337767;0;68.4787;68.4787
154000;270.0984;3.337767;0;68.4787;68.4787
155000;271.1172;3.337767;0;68.4787;69.0668
156000;272.086;3.337767;0;69.0668;69.0668
157000;273.0448;3.337767;0;69.0668;69.0668
158001;273.9934;3.337767;0;69.0668;69.0668
159000;274.9519;3.337767;0;69.0668;69.0668
160000;275.8905;3.562018;0;69.0668;69.0668
161000;276.8289;3.562018;0;69.0668;69.0668
162000;277.7674;3.562018;0;69.0668;69.0668
163000;278.6956;3.562018;0;69.0668;69.0668
164001;279.6237;3.562018;0;69.0668;69.0668
165000;280.5418;3.562018;0;69.0668;69.6033
166000;281.4098;3.562018;0;69.6033;69.6033
167000;282.2779;3.562018;0;69.6033;69.6033
168000;283.1458;3.562018;0;69.6033;69.6033
169000;284.0038;3.562018;0;69.6033;69.6033
170000;284.8519;3.780867;0;69.6033;69.6033
171000;285.6998;3.780867;0;69.6033;69.6033
172000;286.5477;3.780867;0;69.6033;69.6033
173000;287.3855;3.780867;0;69.6033;69.6033
174000;288.2133;3.780867;0;69.6033;69.6033
175000;289.0511;3.780867;0;69.6033;70.0891
176000;289.8289;3.780867;0;70.0891;70.0891
177000;290.6165;3.780867;0;70.0891;70.0891
178000;291.3943;3.780867;0;70.0891;70.0891
179000;292.1719;3.780867;0;70.0891;70.0891
180000;292.9397;3.994797;0;70.0891;70.0891
181000;293.7072;3.994797;0;70.0891;70.0891
182000;294.4649;3.994797;0;70.0891;70.0891
183001;295.2224;3.994797;0;70.0891;70.0891
184001;295.9799;3.994797;0;70.0891;70.0891
185000;296.7273;3.994797;0;70.3606;70.5235
186000;297.4348;3.994797;0;70.5235;70.5235
187000;298.1422;3.994797;0;70.5235;70.5235
188000;298.8398;3.994797;0;70.5235;70.5235
189000;299.5471;3.994797;0;70.5235;70.5235
190001;300.2345;4.204285;0;70.5235;70.5235
191000;300.9318;4.204285;0;70.5235;70.5235
192001;301.6191;4.204285;0;70.5235;70.5235
193000;302.2964;4.204285;0;70.5235;70.5235
194000;302.9736;4.204285;0;70.5235;70.5235
195000;303.6509;4.204285;0;70.5235;70.9113
196000;304.2981;4.204285;0;70.9113;70.9113
197000;304.9352;4.204285;0;70.9113;70.9113
198000;305.5723;4.204285;0;70.9113;70.9113
199000;306.1994;4.204285;0;70.9113;70.9113
200000;306.8264;4.40979;0;70.9113;70.9113
201001;307.4536;4.40979;0;70.9113;70.9113
202000;308.0705;4.40979;0;70.9113;70.9113
203000;308.6876;4.40979;0;70.9113;70.9113
204001;309.3045;4.40979;0;70.9113;70.9113
205000;309.9113;4.40979;0;70.9113;71.2726
206000;310.4883;4.40979;0;71.2726;71.2726
207001;311.0651;4.40979;0;71.2726;71.2726
208000;311.6419;4.40979;0;71.2726;71.2726
209000;312.2087;4.40979;0;71.2726;71.2726
210000;312.7755;4.611654;0;71.2726;71.2726
211000;313.3322;4.611654;0;71.2726;71.2726
212000;313.899;4.611654;0;71.2726;71.2726
213000;314.4557;4.611654;0;71.2726;71.2726
214000;315.0023;4.611654;0;71.2726;71.2726
215000;315.559;4.611654;0;71.2726;71.5985
216000;316.0756;4.611654;0;71.5985;71.5985
217001;316.5921;4.611654;0;71.5985;71.5985
218000;317.1086;4.611654;0;71.5985;71.5985
219001;317.6252;4.611654;0;71.5985;71.5985
220000;318.1417;4.810168;0;71.5985;71.5985
221000;318.6381;4.810168;0;71.5985;71.5985
222000;319.1446;4.810168;0;71.5985;71.5985
223000;319.651;4.810168;0;71.5985;71.5985
224000;320.1473;4.810168;0;71.5985;71.5985
225000;320.6436;4.810168;0;71.5985;71.8833
226000;321.11;4.810168;0;71.8833;71.8833
227000;321.5763;4.810168;0;71.8833;71.8833
228000;322.0425;4.810168;0;71.8833;71.8833
229000;322.5087;4.810168;0;71.8833;71.8833
230000;322.965;5.005689;0;71.8833;71.8833
231000;323.4212;5.005689;0;71.8833;71.8833
232000;323.8774;5.005689;0;71.8833;71.8833
233000;324.3334;5.005689;0;71.8833;71.8833
234000;324.7796;5.005689;0;71.8833;71.8833
235001;325.2257;5.005689;0;71.8833;72.136
236000;325.6517;5.005689;0;72.136;72.136
237000;326.0777;5.005689;0;72.136;72.136
238000;326.4936;5.005689;0;72.136;72.136
239000;326.9196;5.005689;0;72.136;72.136
240000;327.3357;5.198554;0;72.136;72.136
241001;327.7417;5.198554;0;72.136;72.136
242001;328.1578;5.198554;0;72.136;72.136
243000;328.5641;5.198554;0;72.136;72.136
244000;328.9703;5.198554;0;72.136;72.136
245000;329.3766;5.198554;0;72.136;72.3812
246000;329.7529;5.198554;0;72.3812;72.3812
247000;330.1392;5.198554;0;72.3812;72.3812
248001;330.5157;5.198554;0;72.3812;72.3812
249000;330.8923;5.198554;0;72.3812;72.3812
250001;331.2689;5.388948;0;72.3812;72.3812
251000;331.6355;5.388948;0;72.3812;72.3812
252000;332.002;5.388948;0;72.3812;72.3812
253001;332.3787;5.388948;0;72.3812;72.3812
254000;332.7354;5.388948;0;72.3812;72.3812
255000;333.1023;5.388948;0;72.3812;72.5875
256000;333.4491;5.388948;0;72.5875;72.5875
257000;333.7959;5.388948;0;72.5875;72.5875
258000;334.1328;5.388948;0;72.5875;72.5875
259000;334.4698;5.388948;0;72.5875;72.5875
260000;334.8069;5.57709;0;72.5875;72.5875
