REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
301;24.99933;100;100
600;24.99933;100;100
901;24.99933;100;100
1200;24.99933;100;100
1500;24.99933;100;100
1800;24.99933;100;100
2101;24.99933;100;100
2401;24.99933;100;100
2701;24.99933;100;100
3000;24.99933;100;100
3300;24.99933;100;100
3600;24.99933;100;100
3900;24.99933;100;100
4200;24.99933;100;100
4501;24.99933;100;100
4800;24.99933;100;100
5100;24.99933;100;100
5400;24.99933;100;100
5700;24.99933;100;100
6000;24.99933;100;100
6301;24.99933;100;100
6600;24.99933;100;100
6901;24.99933;100;100
7201;24.99933;100;100
7501;24.99933;100;100
7800;24.99933;100;100
8100;24.99933;100;100
8400;24.99933;100;100
8700;24.99933;100;100
9001;24.99933;100;100
9300;24.99933;100;100
9600;24.99933;100;100
9900;24.99933;100;100
10200;24.99933;100;100
10501;24.99933;100;80
10800;24.99933;100;80
11100;24.99933;100;80
11400;24.99933;96.77083;80
11700;24.99933;96.77083;80
12000;24.99933;96.77083;80
12300;25.07926;96.77083;80
12600;25.07926;93.85416;80
12900;25.07926;93.85416;80
13200;25.36896;93.85416;80
13500;25.36896;93.85416;80
13800;25.36896;90.83334;80
14100;25.36896;90.83334;80
14400;25.86823;90.83334;80
14700;25.86823;90.83334;80
15000;25.86823;87.5;80
15300;26.57691;87.5;80
15600;26.57691;87.5;80
15900;26.57691;87.5;80
16200;27.50482;84.375;80
16501;27.50482;84.375;80
16800;27.50482;84.375;80
17100;27.50482;84.375;80
17400;28.63184;81.5625;80
17700;28.63184;81.5625;80
18000;28.63184;81.5625;80
18300;29.94797;81.5625;80
18601;29.94797;80;80
18900;29.94797;80;80
19200;31.25339;80;80
19500;31.25339;80;80
19800;31.25339;80;80
20100;31.25339;80;80
20400;32.54824;80;80
20700;32.54824;80;80
21001;32.54824;80;80
21300;33.83272;80;80
21600;33.83272;80;80
21900;33.83272;80;80
22201;35.11697;80;80
22500;35.11697;80;80
22800;35.11697;80;80
23100;35.11697;80;80
23400;36.40113;80;80
23700;36.40113;80;80
24000;36.40113;80;80
24300;37.66523;80;80
24600;37.66523;80;80
24900;37.66523;80;80
25200;38.92925;80;80
25500;38.92925;80;80
25801;38.92925;80;80
26100;38.92925;80;80
26400;40.1932;80;80
26700;40.1932;80;80
27000;40.1932;80;80
27300;41.4371;80;80
27600;41.4371;80;80
27900;41.4371;80;80
28200;42.69095;80;80
28500;42.69095;80;80
28800;42.69095;80;80
29100;42.69095;80;80
29401;43.92475;80;80
29701;43.92475;80;80
30000;43.92475;80;80
30300;45.1585;80;80
30600;45.1585;80;80
30900;45.1585;80;80
31200;46.38223;80;80
31500;46.38223;80;80
31801;46.38223;80;80
32100;46.38223;80;80
32400;47.60591;80;80
32701;47.60591;80;80
33001;47.60591;80;80
33300;48.81957;80;80
33600;48.81957;80;80
33900;48.81957;80;80
34201;50.02321;80;80
34500;50.02321;80;80
34800;50.02321;80;80
35100;50.02321;80;80
35401;51.22682;80;80
35700;51.22682;80;80
36000;51.22682;80;80
36301;52.42042;80;80
36601;52.42042;80;80
36901;52.42042;80;80
37200;53.614;80;80
37500;53.614;80;80
37800;53.614;80;80
38100;53.614;80;80
38401;54.79756;80;80
38700;54.79756;80;80
39000;54.79756;80;80
39300;55.97112;80;80
39600;55.97112;80;80
39900;55.97112;80;80
40200;57.15112;80;80
40500;57.14467;80;80
40800;57.14467;80;80
41100;57.14467;80;80
41400;58.30821;80;80
41700;58.30821;80;80
42000;58.30821;80;80
42301;59.47176;80;80
42600;59.47176;80;80
42901;59.47176;80;80
43200;59.47176;80;80
43500;60.6253;80;80
43800;60.6253;80;80
44100;60.6253;80;80
44400;61.76885;80;80
44700;61.76885;80;80
45000;61.76885;80;80
45300;62.9124;80;80
45601;62.9124;80;80
45900;62.9124;80;80
46200;62.9124;80;80
46500;64.04596;80;80
46800;64.04596;80;80
47101;64.04596;80;80
47400;65.17952;80;80
47700;65.17952;80;80
48001;65.17952;80;80
48301;66.30309;80;80
48601;66.30309;80;80
48900;66.30309;80;80
49200;66.30309;80;80
49500;67.41668;80;80
49801;67.41668;80;80
50100;67.41668;80;80
50400;68.53028;80;80
50700;68.53028;80;80
51000;68.53028;80;80
51301;69.64389;80;80
51601;69.64389;80;80
51900;69.64389;80;80
52200;69.64389;80;80
52500;70.73752;80;80
52800;70.73752;80;80
53101;70.73752;80;80
53401;71.84116;80;80
53701;71.84116;80;80
54000;71.84116;80;80
54300;72.9248;80;80
54600;72.9248;80;80
54900;72.9248;80;80
55200;72.9248;80;80
55500;74.00847;80;80
55801;74.00847;80;80
56100;74.00847;80;80
56400;75.09216;80;80
56700;75.09216;80;80
57000;75.09216;80;80
57300;76.16586;80;80
57600;76.16586;80;80
57900;76.16586;80;80
58200;76.16586;80;80
58500;77.23958;80;80
58800;77.23958;80;80
59100;77.23958;80;80
59401;78.29332;80;80
59700;78.29332;80;80
60000;78.29332;80;80
60300;79.35708;80;80
60600;79.35708;80;80
60900;79.35708;80;80
61200;79.35708;80;80
61500;80.41086;80;80
61800;80.41086;80;80
62100;80.41086;80;80
62400;81.45467;80;80
62700;81.45467;80;80
63000;81.45467;80;80
63300;82.4985;80;80
63600;82.4985;80;80
63900;82.4985;80;80
64200;82.4985;80;80
64500;83.53234;80;80
64800;83.53234;80;80
65100;83.53234;80;80
65400;84.56622;80;80
65700;84.56622;80;80
66000;84.56622;80;80
66300;85.59011;80;80
66600;85.59011;80;80
66901;85.59011;80;80
67200;85.59011;80;80
67500;86.61403;80;80
67800;86.61403;80;80
68100;86.61403;80;80
68400;87.62797;80;80
68700;87.62797;80;80
69000;87.62797;80;80
69301;88.63194;80;80
69600;88.63194;80;80
69900;88.63194;80;80
70200;88.63194;80;80
70500;89.64593;80;80
70800;89.64593;80;80
71101;89.64593;80;80
71401;90.63995;80;80
71700;90.63995;80;80
72000;90.63995;80;80
72300;91.634;80;80
72601;91.634;80;80
72900;91.634;80;80
73200;91.634;80;80
73500;92.62806;80;80
73800;92.62806;80;80
74101;92.62806;80;80
74401;93.61214;80;80
74701;93.61214;80;80
75000;93.61214;80;80
75301;94.60214;80;80
75601;94.59626;80;80
75901;94.59626;80;80
76200;94.59626;80;80
76500;95.5704;80;80
76800;95.5704;80;80
77101;95.5704;80;80
77401;96.53458;80;80
77700;96.53458;80;80
78000;96.53458;80;80
78300;96.53458;80;80
78601;97.49878;80;80
78900;97.49878;80;80
79201;97.49878;80;80
79500;98.463;80;80
79800;98.463;80;80
80101;98.463;80;80
80400;99.41724;80;80
80700;99.41724;80;80
81000;99.41724;80;80
81300;99.41724;80;80
81600;100.3715;80;80
81900;100.3715;80;80
82200;100.3715;80;80
82500;101.3158;80;80
82800;101.3158;80;80
83100;101.3158;80;80
83400;102.2601;80;80
83701;102.2601;80;80
84000;102.2601;80;80
84300;102.2601;80;80
84601;103.1945;80;80
84901;103.1945;80;80
85200;103.1945;80;80
85500;104.1188;80;80
85801;104.1188;80;80
86101;104.1188;80;80
86400;105.0433;80;80
86700;105.0433;80;80
87000;105.0433;80;80
87300;105.0433;80;80
87600;105.9677;80;80
87900;105.9677;80;80
88200;105.9677;80;80
88500;106.8821;80;80
88800;106.8821;80;80
89101;106.8821;80;80
89401;107.7966;80;80
89700;107.7966;80;80
90001;107.7966;80;80
90300;107.7966;80;80
90601;108.7111;80;80
90900;108.7111;80;80
91200;108.7111;80;80
91500;109.6157;80;80
91800;109.6157;80;80
92100;109.6157;80;80
92400;110.5102;80;80
92700;110.5102;80;80
93000;110.5102;80;80
93300;110.5102;80;80
93600;111.4048;80;80
93900;111.4048;80;80
94200;111.4048;80;80
94501;112.2894;80;80
94800;112.2894;80;80
95101;112.2894;80;80
95400;113.1741;80;80
95700;113.1741;80;80
96000;113.1741;80;80
96300;113.1741;80;80
96600;114.0587;80;80
96901;114.0587;80;80
97200;114.0587;80;80
97500;114.9334;80;80
97801;114.9334;80;80
98101;114.9334;80;80
98400;115.8082;80;80
98700;115.8082;80;80
99000;115.8082;80;80
99300;115.8082;80;80
99600;116.6729;80;80
99900;116.6729;80;80
100200;116.6729;80;80
100500;117.5377;80;80
100800;117.5377;80;80
101101;117.5377;80;80
101400;118.3925;80;80
101700;118.3925;80;80
102000;118.3925;80;80
102300;118.3925;80;80
102601;119.2473;80;80
102900;119.2473;80;80
103201;119.2473;80;80
103500;120.1021;80;80
103800;120.1021;80;80
104100;120.1021;80;80
104401;120.937;80;80
104700;120.937;80;80
105001;120.937;80;80
105301;120.937;80;80
105601;121.7819;80;80
105900;121.7819;80;80
106201;121.7819;80;80
106500;122.6168;80;80
106800;122.6168;80;80
107100;122.6168;80;80
107400;123.4518;80;80
107700;123.4518;80;80
108000;123.4518;80;80
108300;123.4518;80;80
108600;124.2767;80;80
108901;124.2767;80;80
109200;124.2767;80;80
109500;125.1017;80;80
109800;125.1017;80;80
110100;125.1017;80;80
110400;125.9317;80;80
110700;125.9268;80;80
111000;125.9268;80;80
111300;125.9268;80;80
111601;126.7418;80;80
111900;126.7418;80;80
112201;126.7418;80;80
112500;127.5469;80;80
112800;127.5469;80;80
113101;127.5469;80;80
113401;127.5469;80;80
113700;128.362;80;80
114000;128.362;80;80
114301;128.362;80;80
114600;129.1571;80;80
114900;129.1571;80;80
115200;129.1571;80;80
115500;129.9622;80;80
115800;129.9622;80;80
116100;129.9622;80;80
116400;129.9622;80;80
116700;130.7574;80;80
117001;130.7574;80;80
117300;130.7574;80;80
117600;131.5426;80;80
117900;131.5426;80;80
118200;131.5426;80;80
118500;132.3278;80;80
118800;132.3278;80;80
119100;132.3278;80;80
119400;132.3278;80;80
119701;133.113;80;80
120000;133.113;80;80
120301;133.113;80;80
120600;133.8983;80;80
120900;133.8983;80;80
121200;133.8983;80;80
121500;134.6736;80;80
121800;134.6736;80;80
122100;134.6736;80;80
122400;134.6736;80;80
122701;135.4389;80;80
123000;135.4389;80;80
123300;135.4389;80;80
123601;136.2042;80;80
123900;136.2042;80;80
124200;136.2042;80;80
124500;136.9696;80;80
124801;136.9696;80;80
125100;136.9696;80;80
125400;136.9696;80;80
125700;137.725;80;80
126000;137.725;80;80
126301;137.725;80;80
126600;138.4804;80;80
126901;138.4804;80;80
127201;138.4804;80;80
127500;139.2358;80;80
127800;139.2358;80;80
128100;139.2358;80;80
128400;139.2358;80;80
128700;139.9813;80;80
129001;139.9813;80;80
129300;139.9813;80;80
129600;140.7268;80;80
129901;140.7268;80;80
130200;140.7268;80;80
130500;141.4623;80;80
130800;141.4623;80;80
131101;141.4623;80;80
131400;141.4623;80;80
131701;142.1978;80;80
132000;142.1978;80;80
132300;142.1978;80;80
132601;142.9334;80;80
132900;142.9334;80;80
133201;142.9334;80;80
133501;143.6589;80;80
133801;143.6589;80;80
134100;143.6589;80;80
134400;143.6589;80;80
134700;144.3845;80;80
135000;144.3845;80;80
135300;144.3845;80;80
135600;145.1101;80;80
135900;145.1101;80;80
136200;145.1101;80;80
136500;145.8258;80;80
136800;145.8258;80;80
137100;145.8258;80;80
137400;145.8258;80;80
137700;146.5414;80;80
138001;146.5414;80;80
138300;146.5414;80;80
138600;147.2471;80;80
138900;147.2471;80;80
139200;147.2471;80;80
139500;147.9528;80;80
139801;147.9528;80;80
140100;147.9528;80;80
140401;147.9528;80;80
140700;148.6585;80;80
141000;148.6585;80;80
141301;148.6585;80;80
141600;149.3543;80;80
141900;149.3543;80;80
142200;149.3543;80;80
142500;150.0501;80;80
142800;150.0501;80;80
143100;150.0501;80;80
143400;150.0501;80;80
143700;150.7458;80;80
144000;150.7458;80;80
144300;150.7458;80;80
144600;151.4317;80;80
144900;151.4317;80;80
145201;151.4317;80;80
145500;152.1175;80;80
145800;152.1175;80;80
146100;152.1175;80;80
146400;152.1175;80;80
146700;152.8034;80;80
147000;152.8034;80;80
147300;152.8034;80;80
147600;153.4792;80;80
147900;153.4792;80;80
148201;153.4792;80;80
148500;154.1551;80;80
148800;154.1551;80;80
149100;154.1551;80;80
149400;154.1551;80;80
149701;154.821;80;80
150000;154.821;80;80
150300;154.821;80;80
150601;155.487;80;80
150900;155.487;80;80
151201;155.487;80;80
151500;155.487;80;80
151800;156.153;80;80
152100;156.153;80;80
152400;156.153;80;80
152700;156.8189;80;80
153000;156.8189;80;80
153300;156.8189;80;80
153600;157.4749;80;80
153901;157.4749;80;80
154200;157.4749;80;80
154500;157.4749;80;80
154800;158.131;80;80
155100;158.131;80;80
155400;158.131;80;80
155701;158.777;80;80
156000;158.777;80;80
156301;158.777;80;80
156600;159.423;80;80
156900;159.423;80;80
157200;159.423;80;80
157500;159.423;80;80
157800;160.0691;80;80
158101;160.0691;80;80
158400;160.0691;80;80
158700;160.7052;80;80
159000;160.7052;80;80
159300;160.7052;80;80
159600;161.3513;80;80
159900;161.3513;80;80
160200;161.3513;80;80
160500;161.3513;80;80
160800;161.9875;80;80
161101;161.9875;80;80
161400;161.9875;80;80
161700;162.6136;80;80
162000;162.6136;80;80
162300;162.6136;80;80
162600;163.2398;80;80
162900;163.2398;80;80
163200;163.2398;80;80
163500;163.2398;80;80
163800;163.866;80;80
164100;163.866;80;80
164400;163.866;80;80
164700;164.4922;80;80
165000;164.4922;80;80
165300;164.4922;80;80
165600;165.1085;80;80
165901;165.1085;80;80
166200;165.1085;80;80
166500;165.1085;80;80
166800;165.7247;80;80
167100;165.7247;80;80
167400;165.7247;80;80
167700;166.331;80;80
168000;166.331;80;80
168300;166.331;80;80
168601;166.9473;80;80
168900;166.9473;80;80
169200;166.9473;80;80
169500;166.9473;80;80
169800;167.5536;80;80
170100;167.5536;80;80
170400;167.5536;80;80
170700;168.15;80;80
171000;168.15;80;80
171300;168.15;80;80
171600;168.7563;80;80
171900;168.7563;80;80
172200;168.7563;80;80
172501;168.7563;80;80
172801;169.3527;80;80
173100;169.3527;80;80
173400;169.3527;80;80
173700;169.9391;80;80
174000;169.9391;80;80
174301;169.9391;80;80
174600;170.5355;80;80
174901;170.5355;80;80
175201;170.5355;80;80
175501;170.5355;80;80
175800;171.1219;80;80
176100;171.1219;80;80
176400;171.1219;80;80
176700;171.7084;80;80
177000;171.7084;80;80
177300;171.7084;80;80
177600;172.2848;80;80
177900;172.2848;80;80
178200;172.2848;80;80
178500;172.2848;80;80
178800;172.8613;80;80
179100;172.8613;80;80
179400;172.8613;80;80
179700;173.4378;80;80
180000;173.4378;80;80
180300;173.4378;80;80
180600;174.0143;80;80
180901;174.0143;80;80
181200;174.0143;80;80
181500;174.0143;80;80
181800;174.5809;80;80
182100;174.5809;80;80
182400;174.5809;80;80
182700;175.1474;80;80
183000;175.1474;80;80
183300;175.1474;80;80
183600;175.7175;80;80
183900;175.714;80;80
184200;175.714;80;80
184500;175.714;80;80
184800;176.2706;80;80
185101;176.2706;80;80
185401;176.2706;80;80
185700;176.8272;80;80
186001;176.8272;80;80
186300;176.8272;80;80
186601;176.8272;80;80
186900;177.3838;80;80
187201;177.3838;80;80
187500;177.3838;80;80
187800;177.9305;80;80
188100;177.9305;80;80
188400;177.9305;80;80
188700;178.4871;80;80
189000;178.4871;80;80
189300;178.4871;80;80
189600;178.4871;80;80
189900;179.0338;80;80
190200;179.0338;80;80
190500;179.0338;80;80
190800;179.5705;80;80
191100;179.5705;80;80
191400;179.5705;80;80
191701;180.1172;80;80
192000;180.1172;80;80
192301;180.1172;80;80
192600;180.1172;80;80
192900;180.6539;80;80
193201;180.6539;80;80
193500;180.6539;80;80
193801;181.1907;80;80
194100;181.1907;80;80
194401;181.1907;80;80
194701;181.7174;80;80
195000;181.7174;80;80
195300;181.7174;80;80
195600;181.7174;80;80
195900;182.2442;80;80
196200;182.2442;80;80
196500;182.2442;80;80
196801;182.771;80;80
197100;182.771;80;80
197401;182.771;80;80
197701;183.2978;80;80
198000;183.2978;80;80
198300;183.2978;80;80
198601;183.2978;80;80
198900;183.8246;80;80
199200;183.8246;80;80
199500;183.8246;80;80
199801;184.3415;80;80
200100;184.3415;80;80
200400;184.3415;80;80
200701;184.8583;80;80
201000;184.8583;80;80
201300;184.8583;80;80
201600;184.8583;80;80
201900;185.3752;80;80
202201;185.3752;80;80
202500;185.3752;80;80
202800;185.8821;80;80
203100;185.8821;80;80
203401;185.8821;80;80
203700;186.389;80;80
204000;186.389;80;80
204300;186.389;80;80
204600;186.389;80;80
204900;186.8959;80;80
205200;186.8959;80;80
205500;186.8959;80;80
205801;187.3929;80;80
206100;187.3929;80;80
206401;187.3929;80;80
206700;187.8998;80;80
207000;187.8998;80;80
207301;187.8998;80;80
207600;187.8998;80;80
207900;188.3968;80;80
208200;188.3968;80;80
208500;188.3968;80;80
208800;188.8938;80;80
209101;188.8938;80;80
209401;188.8938;80;80
209700;189.3808;80;80
210001;189.3808;80;80
210300;189.3808;80;80
210600;189.3808;80;80
210900;189.8778;80;80
211200;189.8778;80;80
211500;189.8778;80;80
211801;190.3648;80;80
212100;190.3648;80;80
212400;190.3648;80;80
212700;190.8519;80;80
213001;190.8519;80;80
213300;190.8519;80;80
213600;190.8519;80;80
213900;191.3289;80;80
214200;191.3289;80;80
214500;191.3289;80;80
214800;191.806;80;80
215100;191.806;80;80
215400;191.806;80;80
215700;192.2831;80;80
216000;192.2831;80;80
216300;192.2831;80;80
216601;192.2831;80;80
216900;192.7602;80;80
217201;192.7602;80;80
217500;192.7602;80;80
217800;193.2373;80;80
218101;193.2373;80;80
218401;193.2373;80;80
218701;193.7073;80;80
219000;193.7045;80;80
219300;193.7045;80;80
219600;193.7045;80;80
219900;194.1716;80;80
220200;194.1716;80;80
220500;194.1716;80;80
220800;194.6388;80;80
221100;194.6388;80;80
221401;194.6388;80;80
221700;194.6388;80;80
222000;195.096;80;80
222301;195.096;80;80
222600;195.096;80;80
222900;195.5632;80;80
223201;195.5632;80;80
223500;195.5632;80;80
223800;196.0204;80;80
224100;196.0204;80;80
224400;196.0204;80;80
224700;196.0204;80;80
225000;196.4776;80;80
225300;196.4776;80;80
225600;196.4776;80;80
225900;196.9249;80;80
226200;196.9249;80;80
226500;196.9249;80;80
226800;197.3821;80;80
227101;197.3821;80;80
227400;197.3821;80;80
227701;197.3821;80;80
228000;197.8294;80;80
228300;197.8294;80;80
228600;197.8294;80;80
228900;198.2767;80;80
229201;198.2767;80;80
229500;198.2767;80;80
229800;198.714;80;80
230100;198.714;80;80
230400;198.714;80;80
230700;198.714;80;80
231001;199.1613;80;80
231300;199.1613;80;80
231600;199.1613;80;80
231900;199.5986;80;80
232201;199.5986;80;80
232500;199.5986;80;80
232800;200.0359;80;80
233101;200.0359;80;80
233400;200.0359;80;80
233700;200.0359;80;80
234000;200.4733;80;80
234301;200.4733;80;80
234600;200.4733;80;80
