REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
300;24.99933;100;100
600;24.99933;100;100
900;24.99933;100;100
1200;24.99933;100;100
1500;24.99933;100;100
1800;24.99933;100;100
2101;24.99933;100;100
2400;24.99933;100;100
2700;24.99933;100;100
3000;24.99933;100;100
3300;24.99933;100;100
3600;24.99933;100;100
3900;24.99933;100;100
4200;24.99933;100;100
4500;24.99933;100;100
4801;24.99933;100;100
5100;24.99933;100;100
5401;24.99933;100;100
5700;24.99933;100;100
6000;24.99933;100;100
6301;24.99933;100;100
6600;24.99933;100;100
6900;24.99933;100;100
7201;24.99933;100;100
7500;24.99933;100;100
7800;24.99933;100;100
8100;24.99933;100;100
8400;24.99933;100;100
8701;24.99933;100;100
9000;24.99933;100;100
9300;24.99933;100;100
9601;24.99933;100;100
9900;24.99933;100;100
10200;24.99933;100;100
10500;24.99933;100;70
10801;24.99933;100;70
11100;24.99933;98.02084;70
11401;24.99933;98.02084;70
11700;24.99933;98.02084;70
12000;24.99933;98.02084;70
12300;24.99933;95;70
12600;25.07926;95;70
12900;25.07926;95;70
13200;25.07926;95;70
13500;25.37895;91.66666;70
13800;25.37895;91.66666;70
14101;25.37895;91.66666;70
14400;25.8982;91.66666;70
14700;25.8982;88.75;70
15001;25.8982;88.75;70
15301;25.8982;88.75;70
15601;26.62683;88.75;70
15900;26.62683;85.83333;70
16200;26.62683;85.83333;70
16500;27.56469;85.83333;70
16801;27.56469;85.83333;70
17101;27.56469;82.5;70
17400;28.73163;82.5;70
17701;28.73163;82.5;70
18000;28.73163;82.5;70
18301;28.73163;80;70
18600;30.10764;80;70
18900;30.10764;80;70
19200;30.10764;77.1875;70
19500;31.69271;77.1875;70
19800;31.69271;77.1875;70
20100;31.69271;77.1875;70
20400;33.46684;74.16667;70
20700;33.46684;74.16667;70
21000;33.46684;74.16667;70
21300;33.46684;74.16667;70
21600;35.45001;70.83334;70
21900;35.45001;70.83334;70
22200;35.45001;70.83334;70
22500;37.5523;70.83334;70
22800;37.5523;70;70
23101;37.5523;70;70
23401;39.64386;70;70
23700;39.64386;70;70
24000;39.64386;70;70
24300;39.64386;70;70
24600;41.73488;70;70
24900;41.73488;70;70
25200;41.73488;70;70
25500;43.80551;70;70
25800;43.80551;70;70
26100;43.80551;70;70
26400;45.86592;70;70
26700;45.86592;70;70
27000;45.86592;70;70
27300;45.86592;70;70
27600;47.9262;70;70
27900;47.9262;70;70
28201;47.9262;70;70
28500;49.96639;70;70
28800;49.96639;70;70
29101;49.96639;70;70
29400;51.99649;70;70
29700;51.99649;70;70
30001;51.99649;70;70
30300;51.99649;70;70
30600;54.01649;70;70
30900;54.01649;70;70
31201;54.01649;70;70
31500;56.02643;70;70
31801;56.02643;70;70
32101;56.02643;70;70
32400;58.03629;70;70
32700;58.03629;70;70
33000;58.03629;70;70
33300;58.03629;70;70
33600;60.01611;70;70
33900;60.01611;70;70
34200;60.01611;70;70
34500;61.99586;70;70
34800;61.99586;70;70
35101;61.99586;70;70
35401;63.96558;70;70
35700;63.96558;70;70
36000;63.96558;70;70
36300;63.96558;70;70
36600;65.92525;70;70
36900;65.92525;70;70
37201;65.92525;70;70
37501;67.87489;70;70
37800;67.87489;70;70
38101;67.87489;70;70
38400;69.82488;70;70
38700;69.81449;70;70
39001;69.81449;70;70
39301;69.81449;70;70
39600;71.74408;70;70
39901;71.74408;70;70
40200;71.74408;70;70
40501;73.67364;70;70
40800;73.67364;70;70
41100;73.67364;70;70
41401;73.67364;70;70
41700;75.58318;70;70
42000;75.58318;70;70
42301;75.58318;70;70
42600;77.48271;70;70
42900;77.48271;70;70
43200;77.48271;70;70
43500;79.37224;70;70
43800;79.37224;70;70
44100;79.37224;70;70
44400;79.37224;70;70
44700;81.25176;70;70
45001;81.25176;70;70
45300;81.25176;70;70
45600;83.12129;70;70
45900;83.12129;70;70
46200;83.12129;70;70
46501;84.98083;70;70
46800;84.98083;70;70
47100;84.98083;70;70
47401;84.98083;70;70
47701;86.83038;70;70
48001;86.83038;70;70
48301;86.83038;70;70
48600;88.67992;70;70
48900;88.67992;70;70
49201;88.67992;70;70
49500;90.50948;70;70
49800;90.50948;70;70
50100;90.50948;70;70
50400;90.50948;70;70
50701;92.32906;70;70
51000;92.32906;70;70
51300;92.32906;70;70
51600;94.14865;70;70
51900;94.14865;70;70
52201;94.14865;70;70
52500;95.95825;70;70
52800;95.95825;70;70
53100;95.95825;70;70
53400;95.95825;70;70
53700;97.74789;70;70
54000;97.74789;70;70
54300;97.74789;70;70
54601;99.53754;70;70
54900;99.53754;70;70
55200;99.53754;70;70
55501;101.3072;70;70
55801;101.3072;70;70
56100;101.3072;70;70
56400;101.3072;70;70
56700;103.0769;70;70
57000;103.0769;70;70
57300;103.0769;70;70
57601;104.8367;70;70
57900;104.8367;70;70
58200;104.8367;70;70
58500;106.5864;70;70
58800;106.5864;70;70
59101;106.5864;70;70
59400;106.5864;70;70
59700;108.3262;70;70
60000;108.3262;70;70
60301;108.3262;70;70
60600;110.066;70;70
60901;110.066;70;70
61200;110.066;70;70
61500;111.7859;70;70
61800;111.7859;70;70
62100;111.7859;70;70
62400;111.7859;70;70
62700;113.5058;70;70
63000;113.5058;70;70
63301;113.5058;70;70
63600;115.2057;70;70
63901;115.2057;70;70
64200;115.2057;70;70
64500;116.9056;70;70
64800;116.9056;70;70
65100;116.9056;70;70
65400;116.9056;70;70
65700;118.5956;70;70
66000;118.5956;70;70
66300;118.5956;70;70
66600;120.2657;70;70
66901;120.2657;70;70
67200;120.2657;70;70
67500;121.9357;70;70
67800;121.9357;70;70
68100;121.9357;70;70
68400;121.9357;70;70
68700;123.6058;70;70
69001;123.6058;70;70
69300;123.6058;70;70
69600;125.256;70;70
69900;125.256;70;70
70201;125.256;70;70
70500;126.9062;70;70
70801;126.9062;70;70
71100;126.9062;70;70
71400;126.9062;70;70
71700;128.5364;70;70
72000;128.5364;70;70
72300;128.5364;70;70
72600;130.1667;70;70
72900;130.1667;70;70
73201;130.1667;70;70
73500;131.787;70;70
73800;131.787;70;70
74101;131.787;70;70
74400;131.787;70;70
74700;133.3973;70;70
75001;133.3973;70;70
75301;133.3973;70;70
75600;134.9977;70;70
75900;134.9977;70;70
76200;134.9977;70;70
76500;134.9977;70;70
76801;136.5981;70;70
77100;136.5981;70;70
77400;136.5981;70;70
77701;138.1886;70;70
78000;138.1886;70;70
78301;138.1886;70;70
78600;139.7591;70;70
78900;139.7591;70;70
79201;139.7591;70;70
79500;139.7591;70;70
79800;141.3297;70;70
80100;141.3297;70;70
80400;141.3297;70;70
80700;142.9003;70;70
81001;142.9003;70;70
81300;142.9003;70;70
81600;144.4509;70;70
81900;144.4509;70;70
82201;144.4509;70;70
82500;144.4509;70;70
82800;146.0016;70;70
83100;146.0016;70;70
