REALCURRENTTIME;CORE_TEMP;RODS_POS_ACTUAL;ROD_BANK_POS_0_ORDERED
66900;101.233;75;75
67200;101.233;75;75
67500;102.595;75;75
67800;102.595;75;75
68101;102.595;75;75
68399;103.9369;75;75
68699;103.9369;75;75
69000;103.9369;75;75
69300;105.279;75;75
69600;105.279;75;75
69900;105.279;75;75
70200;105.279;75;75
70500;106.611;75;75
70801;106.611;75;75
71100;106.611;75;75
71400;107.9431;75;75
71699;107.9431;75;75
72000;107.9431;75;75
72300;109.2652;75;75
72600;109.2652;75;75
72900;109.2652;75;75
73200;109.2652;75;75
73499;110.5773;75;75
73800;110.5773;75;75
74099;110.5773;75;75
74400;111.8895;75;75
74701;111.8895;75;75
75000;111.8895;75;75
75300;113.1817;75;75
75600;113.1817;75;75
75900;113.1817;75;75
76200;113.1817;75;75
76500;114.4839;75;75
76801;114.4839;75;75
77100;114.4839;75;75
77400;115.7662;75;75
77700;115.7662;75;75
78000;115.7662;75;75
78300;115.7662;75;75
78600;117.0485;75;75
78900;117.0485;75;75
79200;117.0485;75;75
79500;118.3208;75;75
79799;118.3208;75;75
80100;118.3208;75;75
80400;119.5932;75;75
80700;119.5932;75;75
81000;119.5932;75;75
81300;119.5932;75;75
81600;120.8556;75;75
81900;120.8556;75;75
82200;120.8556;75;75
82500;122.1081;75;75
82800;122.1081;75;75
83100;122.1081;75;75
83400;123.3605;75;75
83700;123.3605;75;75
84000;123.3605;75;75
84300;123.3605;75;75
84601;124.603;75;75
84900;124.603;75;75
85200;124.603;75;75
85500;125.8356;75;75
85800;125.8356;75;75
86100;125.8356;75;75
86400;127.0682;75;75
86700;127.0682;75;75
87000;127.0682;75;75
87300;127.0682;75;75
87600;128.2908;75;75
87900;128.2908;75;75
88200;128.2908;75;75
88500;129.5034;75;75
88800;129.5034;75;75
89100;129.5034;75;75
89400;130.7161;75;75
89700;130.7161;75;75
90000;130.7161;75;75
90300;130.7161;75;75
90600;131.9189;75;75
90900;131.9189;75;75
91200;131.9189;75;75
91500;133.1216;75;75
91800;133.1216;75;75
92100;133.1216;75;75
92400;134.3144;75;75
92700;134.3144;75;75
93000;134.3144;75;75
93300;134.3144;75;75
93600;135.4972;75;75
93900;135.4972;75;75
94200;135.4972;75;75
94500;136.6801;75;75
94800;136.6801;75;75
95100;136.6801;75;75
95400;137.853;75;75
95699;137.853;75;75
96000;137.853;75;75
96300;137.853;75;75
96600;139.0159;75;75
96900;139.0159;75;75
97200;139.0159;75;75
97500;140.1789;75;75
97800;140.1789;75;75
98100;140.1789;75;75
98400;141.3319;75;75
98700;141.3319;75;75
99000;141.3319;75;75
99300;141.3319;75;75
99600;142.4849;75;75
99899;142.4849;75;75
100200;142.4849;75;75
100500;143.628;75;75
100800;143.628;75;75
101100;143.628;75;75
101399;144.771;75;75
101700;144.771;75;75
102000;144.771;75;75
102300;144.771;75;75
102600;145.9042;75;75
102900;145.9042;75;75
103200;145.9042;75;75
103500;147.0273;75;75
103800;147.0273;75;75
104100;147.0273;75;75
104400;148.1505;75;75
104700;148.1505;75;75
105000;148.1505;75;75
105300;148.1505;75;75
105600;149.2638;75;75
105900;149.2638;75;75
106200;149.2638;75;75
106499;150.377;75;75
106800;150.377;75;75
107099;150.377;75;75
107399;151.4803;75;75
107700;151.4803;75;75
108000;151.4803;75;75
108301;151.4803;75;75
108600;152.5737;75;75
108900;152.5737;75;75
109200;152.5737;75;75
109499;153.667;75;75
109800;153.667;75;75
110100;153.667;75;75
110400;154.767;75;75
110700;154.7604;75;75
111000;154.7604;75;75
111299;154.7604;75;75
111600;155.8339;75;75
111901;155.8339;75;75
112201;155.8339;75;75
112500;156.9173;75;75
112801;156.9173;75;75
113100;156.9173;75;75
113400;156.9173;75;75
113699;157.9809;75;75
114000;157.9809;75;75
114300;157.9809;75;75
114600;159.0444;75;75
114900;159.0444;75;75
115200;159.0444;75;75
115500;160.108;75;75
115800;160.108;75;75
116100;160.108;75;75
116400;160.108;75;75
116700;161.1615;75;75
117000;161.1615;75;75
117300;161.1615;75;75
117600;162.2052;75;75
117900;162.2052;75;75
118200;162.2052;75;75
118500;163.2489;75;75
118801;163.2489;75;75
119100;163.2489;75;75
119400;163.2489;75;75
119700;164.2925;75;75
119999;164.2925;75;75
120300;164.2925;75;75
120600;165.3263;75;75
120900;165.3263;75;75
121200;165.3263;75;75
121500;166.35;75;75
121800;166.35;75;75
122100;166.35;75;75
122400;166.35;75;75
